Joaquim; realizou o login com sucesso
Joaquim;não realizou o login, dados incorretos
Joaquim; realizou o login com sucesso
Joaquim;Excluiu a peca codigo 6 : Amortecedores
Joaquim;saiu do programa
j;falhou ao realizar o login, dados incorretos
j; realizou o login com sucesso
j;Excluiu a peca codigo 7 : Lampadas Automotivas
j;saiu do programa
j; realizou o login com sucesso
j; inseriu o novo item: freio
j;saiu do programa
Kauan_SN; realizou o login com sucesso
Kauan_SN;saiu do programa
Joaquim;falhou ao realizar o login, dados incorretos
Joaquim;realizou o login com sucesso
Joaquim;saiu do programa
Joaquim;realizou o login com sucesso
Joaquim;saiu do programa
Joaquim;falhou ao realizar o login, dados incorretos
Joaquim;realizou o login com sucesso
Joaquim;Listou os registros
Joaquim;realizou o login com sucesso
Joaquim;saiu do programa
;falhou ao realizar o login, dados incorretos
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
;falhou ao realizar o login, dados incorretos
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim;falhou ao realizar o login, dados incorretos
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;Tentou inserir ID duplicado
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Rafael Souza;falhou ao realizar o login, dados incorretos
Rafael Souza;realizou o login com sucesso
Rafael Souza;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;Pesquisou o ID 99
Joaquim Marques;saiu do programa
Rafael Souza;falhou ao realizar o login, dados incorretos
Rafael Souza;realizou o login com sucesso
Rafael Souza;saiu do programa
Rafael Souza;realizou o login com sucesso
Rafael Souza;saiu do programa
Kauan da Silva;realizou o login com sucesso
Kauan da Silva; inseriu o novo item: Amortecedores
Kauan da Silva;saiu do programa
Kauan da Silva;realizou o login com sucesso
Kauan da Silva;Tentou inserir ID duplicado
Kauan da Silva;Listou os registros
Kauan da Silva;saiu do programa
Biank Marcondes;realizou o login com sucesso
Biank Marcondes;Listou os registros
Biank Marcondes;saiu do programa
Kauan da Silva;realizou o login com sucesso
Kauan da Silva;Tentou inserir ID duplicado
Kauan da Silva;Listou os registros
Kauan da Silva;saiu do programa
Biank Marcondes;realizou o login com sucesso
Biank Marcondes;Listou os registros
Biank Marcondes;saiu do programa
Biank Marcondes;realizou o login com sucesso
Biank Marcondes;Listou os registros
Biank Marcondes;saiu do programa
Biank Marcondes;realizou o login com sucesso
Biank Marcondes;Pesquisou o ID 2
Biank Marcondes;saiu do programa
Joaquim Marques;realizou o login com sucesso
Joaquim Marques;Pesquisou o ID 99
Joaquim Marques;saiu do programa
Get-Content "../tes;falhou ao realizar o login, dados incorretos
w | ./programa.exe;falhou ao realizar o login, dados incorretos
tes/CT0009.txt" -Ra;falhou ao realizar o login, dados incorretos
2;falhou ao realizar o login, dados incorretos
Rafael Souza;realizou o login com sucesso
Rafael Souza;Pesquisou o ID 3
Rafael Souza;Listou os registros
Rafael Souza;realizou o login com sucesso
Rafael Souza;saiu do programa
Rafael Souza;falhou ao realizar o login, dados incorretos
Rafael Souza;realizou o login com sucesso
Rafael Souza;saiu do programa
Rafael Souza;realizou o login com sucesso
Rafael Souza;saiu do programa
Kauan da Silva;realizou o login com sucesso
Kauan da Silva;Tentou inserir ID duplicado
Kauan da Silva;saiu do programa
Kauan da Silva;realizou o login com sucesso
Kauan da Silva;Tentou inserir ID duplicado
Kauan da Silva;saiu do programa
Kauan da Silva;realizou o login com sucesso
Kauan da Silva;Tentou inserir ID duplicado
Kauan da Silva;Listou os registros
Kauan da Silva;saiu do programa
Kauan da Silva;realizou o login com sucesso
Kauan da Silva;Tentou inserir ID duplicado
